state,industry,reporting_date,year,month,month_no,turnover_millions,yoy_growth_pct
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/12/2022,2022,December ,12,215.1,5.91
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/01/2023,2023,January  ,1,171.4,6.79
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/02/2023,2023,February ,2,149.8,5.57
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/03/2023,2023,March    ,3,166.3,-2.06
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/04/2023,2023,April    ,4,160.8,7.99
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/05/2023,2023,May      ,5,169,-1.86
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/06/2023,2023,June     ,6,171.7,-3.43
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/07/2023,2023,July     ,7,165.9,-7.11
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/08/2023,2023,August   ,8,169.3,-8.14
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/09/2023,2023,September,9,161.7,-5.11
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/10/2023,2023,October  ,10,176.4,-6.22
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/11/2023,2023,November ,11,205.3,-3.89
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/12/2023,2023,December ,12,200.7,-6.69
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/01/2024,2024,January  ,1,165.6,-3.38
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/02/2024,2024,February ,2,152.7,1.94
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/03/2024,2024,March    ,3,161.3,-3.01
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/04/2024,2024,April    ,4,158.4,-1.49
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/05/2024,2024,May      ,5,183.9,8.82
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/06/2024,2024,June     ,6,198.9,15.84
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/07/2024,2024,July     ,7,190.5,14.83
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/08/2024,2024,August   ,8,190.4,12.46
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/09/2024,2024,September,9,175.1,8.29
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/10/2024,2024,October  ,10,196.6,11.45
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/11/2024,2024,November ,11,236.1,15.00
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/12/2024,2024,December ,12,237.3,18.24
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/01/2025,2025,January  ,1,184.7,11.53
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/02/2025,2025,February ,2,158.7,3.93
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/03/2025,2025,March    ,3,181.2,12.34
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/04/2025,2025,April    ,4,167,5.43
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/05/2025,2025,May      ,5,188.5,2.50
Western Australia,"Furniture, floor coverings, houseware and textile goods retailing",1/06/2025,2025,June     ,6,211.5,6.33
Western Australia,"Hardware, building and garden supplies retailing",1/01/2019,2019,January  ,1,163.5,NULL
Western Australia,"Hardware, building and garden supplies retailing",1/02/2019,2019,February ,2,148.8,NULL
Western Australia,"Hardware, building and garden supplies retailing",1/03/2019,2019,March    ,3,161.9,NULL
Western Australia,"Hardware, building and garden supplies retailing",1/04/2019,2019,April    ,4,153.3,NULL
Western Australia,"Hardware, building and garden supplies retailing",1/05/2019,2019,May      ,5,150.9,NULL
Western Australia,"Hardware, building and garden supplies retailing",1/06/2019,2019,June     ,6,151.2,NULL
Western Australia,"Hardware, building and garden supplies retailing",1/07/2019,2019,July     ,7,152.8,NULL
Western Australia,"Hardware, building and garden supplies retailing",1/08/2019,2019,August   ,8,160.2,NULL
Western Australia,"Hardware, building and garden supplies retailing",1/09/2019,2019,September,9,174.3,NULL
Western Australia,"Hardware, building and garden supplies retailing",1/10/2019,2019,October  ,10,187.5,NULL
Western Australia,"Hardware, building and garden supplies retailing",1/11/2019,2019,November ,11,189.5,NULL
Western Australia,"Hardware, building and garden supplies retailing",1/12/2019,2019,December ,12,197.3,NULL
Western Australia,"Hardware, building and garden supplies retailing",1/01/2020,2020,January  ,1,169.2,3.49
Western Australia,"Hardware, building and garden supplies retailing",1/02/2020,2020,February ,2,161.5,8.53
Western Australia,"Hardware, building and garden supplies retailing",1/03/2020,2020,March    ,3,187.2,15.63
Western Australia,"Hardware, building and garden supplies retailing",1/04/2020,2020,April    ,4,196.9,28.44
Western Australia,"Hardware, building and garden supplies retailing",1/05/2020,2020,May      ,5,211.9,40.42
Western Australia,"Hardware, building and garden supplies retailing",1/06/2020,2020,June     ,6,192.4,27.25
Western Australia,"Hardware, building and garden supplies retailing",1/07/2020,2020,July     ,7,193.3,26.51
Western Australia,"Hardware, building and garden supplies retailing",1/08/2020,2020,August   ,8,192.5,20.16
Western Australia,"Hardware, building and garden supplies retailing",1/09/2020,2020,September,9,201.7,15.72
Western Australia,"Hardware, building and garden supplies retailing",1/10/2020,2020,October  ,10,228.6,21.92
Western Australia,"Hardware, building and garden supplies retailing",1/11/2020,2020,November ,11,212.9,12.35
Western Australia,"Hardware, building and garden supplies retailing",1/12/2020,2020,December ,12,235.9,19.56
Western Australia,"Hardware, building and garden supplies retailing",1/01/2021,2021,January  ,1,201.6,19.15
Western Australia,"Hardware, building and garden supplies retailing",1/02/2021,2021,February ,2,174,7.74
Western Australia,"Hardware, building and garden supplies retailing",1/03/2021,2021,March    ,3,195.4,4.38
Western Australia,"Hardware, building and garden supplies retailing",1/04/2021,2021,April    ,4,189.4,-3.81
Western Australia,"Hardware, building and garden supplies retailing",1/05/2021,2021,May      ,5,187.1,-11.70
Western Australia,"Hardware, building and garden supplies retailing",1/06/2021,2021,June     ,6,184.3,-4.21
Western Australia,"Hardware, building and garden supplies retailing",1/07/2021,2021,July     ,7,190.6,-1.40
Western Australia,"Hardware, building and garden supplies retailing",1/08/2021,2021,August   ,8,201.7,4.78
Western Australia,"Hardware, building and garden supplies retailing",1/09/2021,2021,September,9,221.7,9.92
Western Australia,"Hardware, building and garden supplies retailing",1/10/2021,2021,October  ,10,239.6,4.81
Western Australia,"Hardware, building and garden supplies retailing",1/11/2021,2021,November ,11,243.1,14.19
Western Australia,"Hardware, building and garden supplies retailing",1/12/2021,2021,December ,12,255.8,8.44
Western Australia,"Hardware, building and garden supplies retailing",1/01/2022,2022,January  ,1,219.7,8.98
Western Australia,"Hardware, building and garden supplies retailing",1/02/2022,2022,February ,2,190.6,9.54
Western Australia,"Hardware, building and garden supplies retailing",1/03/2022,2022,March    ,3,219.9,12.54
Western Australia,"Hardware, building and garden supplies retailing",1/04/2022,2022,April    ,4,215.8,13.94
Western Australia,"Hardware, building and garden supplies retailing",1/05/2022,2022,May      ,5,208.7,11.54
Western Australia,"Hardware, building and garden supplies retailing",1/06/2022,2022,June     ,6,195.9,6.29
Western Australia,"Hardware, building and garden supplies retailing",1/07/2022,2022,July     ,7,208.1,9.18
Western Australia,"Hardware, building and garden supplies retailing",1/08/2022,2022,August   ,8,224.1,11.11
Western Australia,"Hardware, building and garden supplies retailing",1/09/2022,2022,September,9,241.6,8.98
Western Australia,"Hardware, building and garden supplies retailing",1/10/2022,2022,October  ,10,262.1,9.39
Western Australia,"Hardware, building and garden supplies retailing",1/11/2022,2022,November ,11,257.2,5.80
Western Australia,"Hardware, building and garden supplies retailing",1/12/2022,2022,December ,12,269,5.16
Western Australia,"Hardware, building and garden supplies retailing",1/01/2023,2023,January  ,1,226.9,3.28
Western Australia,"Hardware, building and garden supplies retailing",1/02/2023,2023,February ,2,205.7,7.92
Western Australia,"Hardware, building and garden supplies retailing",1/03/2023,2023,March    ,3,226.1,2.82
Western Australia,"Hardware, building and garden supplies retailing",1/04/2023,2023,April    ,4,209.9,-2.73
Western Australia,"Hardware, building and garden supplies retailing",1/05/2023,2023,May      ,5,214.5,2.78
Western Australia,"Hardware, building and garden supplies retailing",1/06/2023,2023,June     ,6,203.6,3.93
Western Australia,"Hardware, building and garden supplies retailing",1/07/2023,2023,July     ,7,211.1,1.44
Western Australia,"Hardware, building and garden supplies retailing",1/08/2023,2023,August   ,8,232.7,3.84
Western Australia,"Hardware, building and garden supplies retailing",1/09/2023,2023,September,9,247.5,2.44
Western Australia,"Hardware, building and garden supplies retailing",1/10/2023,2023,October  ,10,271.7,3.66
Western Australia,"Hardware, building and garden supplies retailing",1/11/2023,2023,November ,11,263.3,2.37
Western Australia,"Hardware, building and garden supplies retailing",1/12/2023,2023,December ,12,270.4,0.52
Western Australia,"Hardware, building and garden supplies retailing",1/01/2024,2024,January  ,1,236.8,4.36
Western Australia,"Hardware, building and garden supplies retailing",1/02/2024,2024,February ,2,215.7,4.86
Western Australia,"Hardware, building and garden supplies retailing",1/03/2024,2024,March    ,3,228.5,1.06
Western Australia,"Hardware, building and garden supplies retailing",1/04/2024,2024,April    ,4,228.4,8.81
Western Australia,"Hardware, building and garden supplies retailing",1/05/2024,2024,May      ,5,230.7,7.55
Western Australia,"Hardware, building and garden supplies retailing",1/06/2024,2024,June     ,6,222.4,9.23
Western Australia,"Hardware, building and garden supplies retailing",1/07/2024,2024,July     ,7,219.8,4.12
Western Australia,"Hardware, building and garden supplies retailing",1/08/2024,2024,August   ,8,228.1,-1.98
Western Australia,"Hardware, building and garden supplies retailing",1/09/2024,2024,September,9,271.4,9.66
Western Australia,"Hardware, building and garden supplies retailing",1/10/2024,2024,October  ,10,286.4,5.41
Western Australia,"Hardware, building and garden supplies retailing",1/11/2024,2024,November ,11,283.5,7.67
Western Australia,"Hardware, building and garden supplies retailing",1/12/2024,2024,December ,12,287.9,6.47
Western Australia,"Hardware, building and garden supplies retailing",1/01/2025,2025,January  ,1,249.4,5.32
Western Australia,"Hardware, building and garden supplies retailing",1/02/2025,2025,February ,2,228.5,5.93
Western Australia,"Hardware, building and garden supplies retailing",1/03/2025,2025,March    ,3,250,9.41
Western Australia,"Hardware, building and garden supplies retailing",1/04/2025,2025,April    ,4,240.4,5.25
Western Australia,"Hardware, building and garden supplies retailing",1/05/2025,2025,May      ,5,246.8,6.98
Western Australia,"Hardware, building and garden supplies retailing",1/06/2025,2025,June     ,6,231.5,4.09
Western Australia,Liquor retailing,1/01/2019,2019,January  ,1,128.4,NULL
Western Australia,Liquor retailing,1/02/2019,2019,February ,2,113.4,NULL
Western Australia,Liquor retailing,1/03/2019,2019,March    ,3,128.6,NULL
Western Australia,Liquor retailing,1/04/2019,2019,April    ,4,123.3,NULL
Western Australia,Liquor retailing,1/05/2019,2019,May      ,5,121,NULL
Western Australia,Liquor retailing,1/06/2019,2019,June     ,6,114.2,NULL
Western Australia,Liquor retailing,1/07/2019,2019,July     ,7,119.7,NULL
Western Australia,Liquor retailing,1/08/2019,2019,August   ,8,127.2,NULL
Western Australia,Liquor retailing,1/09/2019,2019,September,9,130,NULL
Western Australia,Liquor retailing,1/10/2019,2019,October  ,10,131.2,NULL
Western Australia,Liquor retailing,1/11/2019,2019,November ,11,143.6,NULL
Western Australia,Liquor retailing,1/12/2019,2019,December ,12,195.8,NULL
Western Australia,Liquor retailing,1/01/2020,2020,January  ,1,134.6,4.83
Western Australia,Liquor retailing,1/02/2020,2020,February ,2,127.5,12.43
Western Australia,Liquor retailing,1/03/2020,2020,March    ,3,168.7,31.18
Western Australia,Liquor retailing,1/04/2020,2020,April    ,4,146.9,19.14
Western Australia,Liquor retailing,1/05/2020,2020,May      ,5,182.9,51.16
Western Australia,Liquor retailing,1/06/2020,2020,June     ,6,162.8,42.56
Western Australia,Liquor retailing,1/07/2020,2020,July     ,7,169.1,41.27
Western Australia,Liquor retailing,1/08/2020,2020,August   ,8,167.2,31.45
Western Australia,Liquor retailing,1/09/2020,2020,September,9,169.9,30.69
Western Australia,Liquor retailing,1/10/2020,2020,October  ,10,182.4,39.02
Western Australia,Liquor retailing,1/11/2020,2020,November ,11,174.2,21.31
Western Australia,Liquor retailing,1/12/2020,2020,December ,12,267.1,36.41
Western Australia,Liquor retailing,1/01/2021,2021,January  ,1,191.6,42.35
Western Australia,Liquor retailing,1/02/2021,2021,February ,2,155.2,21.73
Western Australia,Liquor retailing,1/03/2021,2021,March    ,3,177.5,5.22
Western Australia,Liquor retailing,1/04/2021,2021,April    ,4,173,17.77
Western Australia,Liquor retailing,1/05/2021,2021,May      ,5,160.3,-12.36
Western Australia,Liquor retailing,1/06/2021,2021,June     ,6,153.2,-5.90
Western Australia,Liquor retailing,1/07/2021,2021,July     ,7,166.4,-1.60
Western Australia,Liquor retailing,1/08/2021,2021,August   ,8,154,-7.89
Western Australia,Liquor retailing,1/09/2021,2021,September,9,166,-2.30
Western Australia,Liquor retailing,1/10/2021,2021,October  ,10,168,-7.89
Western Australia,Liquor retailing,1/11/2021,2021,November ,11,174.4,0.11
Western Australia,Liquor retailing,1/12/2021,2021,December ,12,275.3,3.07
Western Australia,Liquor retailing,1/01/2022,2022,January  ,1,179.2,-6.47
Western Australia,Liquor retailing,1/02/2022,2022,February ,2,158.7,2.26
Western Australia,Liquor retailing,1/03/2022,2022,March    ,3,179.1,0.90
Western Australia,Liquor retailing,1/04/2022,2022,April    ,4,185.9,7.46
Western Australia,Liquor retailing,1/05/2022,2022,May      ,5,162,1.06
Western Australia,Liquor retailing,1/06/2022,2022,June     ,6,158.9,3.72
Western Australia,Liquor retailing,1/07/2022,2022,July     ,7,161.8,-2.76
Western Australia,Liquor retailing,1/08/2022,2022,August   ,8,160.2,4.03
Western Australia,Liquor retailing,1/09/2022,2022,September,9,174.2,4.94
Western Australia,Liquor retailing,1/10/2022,2022,October  ,10,171.4,2.02
Western Australia,Liquor retailing,1/11/2022,2022,November ,11,175.1,0.40
Western Australia,Liquor retailing,1/12/2022,2022,December ,12,269.2,-2.22
Western Australia,Liquor retailing,1/01/2023,2023,January  ,1,169.6,-5.36
Western Australia,Liquor retailing,1/02/2023,2023,February ,2,156,-1.70
Western Australia,Liquor retailing,1/03/2023,2023,March    ,3,177,-1.17
Western Australia,Liquor retailing,1/04/2023,2023,April    ,4,171.9,-7.53
Western Australia,Liquor retailing,1/05/2023,2023,May      ,5,157.6,-2.72
Western Australia,Liquor retailing,1/06/2023,2023,June     ,6,155.2,-2.33
Western Australia,Liquor retailing,1/07/2023,2023,July     ,7,154.9,-4.26
Western Australia,Liquor retailing,1/08/2023,2023,August   ,8,159.6,-0.37
Western Australia,Liquor retailing,1/09/2023,2023,September,9,177.3,1.78
Western Australia,Liquor retailing,1/10/2023,2023,October  ,10,173.8,1.40
Western Australia,Liquor retailing,1/11/2023,2023,November ,11,184.6,5.43
Western Australia,Liquor retailing,1/12/2023,2023,December ,12,272.8,1.34
Western Australia,Liquor retailing,1/01/2024,2024,January  ,1,169.8,0.12
Western Australia,Liquor retailing,1/02/2024,2024,February ,2,165.6,6.15
Western Australia,Liquor retailing,1/03/2024,2024,March    ,3,189.1,6.84
Western Australia,Liquor retailing,1/04/2024,2024,April    ,4,165.4,-3.78
Western Australia,Liquor retailing,1/05/2024,2024,May      ,5,169.3,7.42
Western Australia,Liquor retailing,1/06/2024,2024,June     ,6,159.6,2.84
Western Australia,Liquor retailing,1/07/2024,2024,July     ,7,161.8,4.45
Western Australia,Liquor retailing,1/08/2024,2024,August   ,8,173.6,8.77
Western Australia,Liquor retailing,1/09/2024,2024,September,9,172.9,-2.48
Western Australia,Liquor retailing,1/10/2024,2024,October  ,10,174.3,0.29
Western Australia,Liquor retailing,1/11/2024,2024,November ,11,189.5,2.65
Western Australia,Liquor retailing,1/12/2024,2024,December ,12,273.5,0.26
Western Australia,Liquor retailing,1/01/2025,2025,January  ,1,173.2,2.00
Western Australia,Liquor retailing,1/02/2025,2025,February ,2,159.5,-3.68
Western Australia,Liquor retailing,1/03/2025,2025,March    ,3,179.4,-5.13
Western Australia,Liquor retailing,1/04/2025,2025,April    ,4,176.9,6.95
Western Australia,Liquor retailing,1/05/2025,2025,May      ,5,174.2,2.89
Western Australia,Liquor retailing,1/06/2025,2025,June     ,6,156.5,-1.94
Western Australia,Newspaper and book retailing,1/01/2019,2019,January  ,1,41.3,NULL
Western Australia,Newspaper and book retailing,1/02/2019,2019,February ,2,33.2,NULL
Western Australia,Newspaper and book retailing,1/03/2019,2019,March    ,3,30.4,NULL
Western Australia,Newspaper and book retailing,1/04/2019,2019,April    ,4,28.5,NULL
Western Australia,Newspaper and book retailing,1/05/2019,2019,May      ,5,29.7,NULL
Western Australia,Newspaper and book retailing,1/06/2019,2019,June     ,6,28.5,NULL
Western Australia,Newspaper and book retailing,1/07/2019,2019,July     ,7,31.2,NULL
Western Australia,Newspaper and book retailing,1/08/2019,2019,August   ,8,31.4,NULL
Western Australia,Newspaper and book retailing,1/09/2019,2019,September,9,30.3,NULL
Western Australia,Newspaper and book retailing,1/10/2019,2019,October  ,10,30.5,NULL
Western Australia,Newspaper and book retailing,1/11/2019,2019,November ,11,33.8,NULL
Western Australia,Newspaper and book retailing,1/12/2019,2019,December ,12,43.9,NULL
Western Australia,Newspaper and book retailing,1/01/2020,2020,January  ,1,30.3,-26.63
Western Australia,Newspaper and book retailing,1/02/2020,2020,February ,2,27.4,-17.47
Western Australia,Newspaper and book retailing,1/03/2020,2020,March    ,3,25.6,-15.79
Western Australia,Newspaper and book retailing,1/04/2020,2020,April    ,4,20.5,-28.07
Western Australia,Newspaper and book retailing,1/05/2020,2020,May      ,5,25.3,-14.81
Western Australia,Newspaper and book retailing,1/06/2020,2020,June     ,6,25.6,-10.18
Western Australia,Newspaper and book retailing,1/07/2020,2020,July     ,7,28.1,-9.94
Western Australia,Newspaper and book retailing,1/08/2020,2020,August   ,8,28.7,-8.60
Western Australia,Newspaper and book retailing,1/09/2020,2020,September,9,31.2,2.97
Western Australia,Newspaper and book retailing,1/10/2020,2020,October  ,10,32.7,7.21
Western Australia,Newspaper and book retailing,1/11/2020,2020,November ,11,33.8,0.00
Western Australia,Newspaper and book retailing,1/12/2020,2020,December ,12,48.7,10.93
Western Australia,Newspaper and book retailing,1/01/2021,2021,January  ,1,31.9,5.28
Western Australia,Newspaper and book retailing,1/02/2021,2021,February ,2,29.6,8.03
Western Australia,Newspaper and book retailing,1/03/2021,2021,March    ,3,33.5,30.86
Western Australia,Newspaper and book retailing,1/04/2021,2021,April    ,4,29.4,43.41
Western Australia,Newspaper and book retailing,1/05/2021,2021,May      ,5,28.7,13.44
Western Australia,Newspaper and book retailing,1/06/2021,2021,June     ,6,29.3,14.45
Western Australia,Newspaper and book retailing,1/07/2021,2021,July     ,7,29.8,6.05
Western Australia,Newspaper and book retailing,1/08/2021,2021,August   ,8,30.6,6.62
Western Australia,Newspaper and book retailing,1/09/2021,2021,September,9,28.9,-7.37
Western Australia,Newspaper and book retailing,1/10/2021,2021,October  ,10,24.5,-25.08
Western Australia,Newspaper and book retailing,1/11/2021,2021,November ,11,26.6,-21.30
Western Australia,Newspaper and book retailing,1/12/2021,2021,December ,12,33.9,-30.39
Western Australia,Newspaper and book retailing,1/01/2022,2022,January  ,1,21.8,-31.66
Western Australia,Newspaper and book retailing,1/02/2022,2022,February ,2,22.3,-24.66
Western Australia,Newspaper and book retailing,1/03/2022,2022,March    ,3,23.3,-30.45
Western Australia,Newspaper and book retailing,1/04/2022,2022,April    ,4,22,-25.17
Western Australia,Newspaper and book retailing,1/05/2022,2022,May      ,5,26,-9.41
Western Australia,Newspaper and book retailing,1/06/2022,2022,June     ,6,22.8,-22.18
Western Australia,Newspaper and book retailing,1/07/2022,2022,July     ,7,21.2,-28.86
Western Australia,Newspaper and book retailing,1/08/2022,2022,August   ,8,22.5,-26.47
Western Australia,Newspaper and book retailing,1/09/2022,2022,September,9,22.5,-22.15
Western Australia,Newspaper and book retailing,1/10/2022,2022,October  ,10,23.3,-4.90
Western Australia,Newspaper and book retailing,1/11/2022,2022,November ,11,22.6,-15.04
Western Australia,Newspaper and book retailing,1/12/2022,2022,December ,12,29.2,-13.86
Western Australia,Newspaper and book retailing,1/01/2023,2023,January  ,1,19.9,-8.72
Western Australia,Newspaper and book retailing,1/02/2023,2023,February ,2,18.9,-15.25
Western Australia,Newspaper and book retailing,1/03/2023,2023,March    ,3,19.4,-16.74
Western Australia,Newspaper and book retailing,1/04/2023,2023,April    ,4,17.7,-19.55
Western Australia,Newspaper and book retailing,1/05/2023,2023,May      ,5,19.5,-25.00
Western Australia,Newspaper and book retailing,1/06/2023,2023,June     ,6,21.4,-6.14
Western Australia,Newspaper and book retailing,1/07/2023,2023,July     ,7,20.2,-4.72
Western Australia,Newspaper and book retailing,1/08/2023,2023,August   ,8,20.5,-8.89
Western Australia,Newspaper and book retailing,1/09/2023,2023,September,9,19.1,-15.11
Western Australia,Newspaper and book retailing,1/10/2023,2023,October  ,10,18.4,-21.03
Western Australia,Newspaper and book retailing,1/11/2023,2023,November ,11,19.3,-14.60
Western Australia,Newspaper and book retailing,1/12/2023,2023,December ,12,27,-7.53
Western Australia,Newspaper and book retailing,1/01/2024,2024,January  ,1,20.1,1.01
Western Australia,Newspaper and book retailing,1/02/2024,2024,February ,2,17,-10.05
Western Australia,Newspaper and book retailing,1/03/2024,2024,March    ,3,17,-12.37
Western Australia,Newspaper and book retailing,1/04/2024,2024,April    ,4,16,-9.60
Western Australia,Newspaper and book retailing,1/05/2024,2024,May      ,5,17.1,-12.31
Western Australia,Newspaper and book retailing,1/06/2024,2024,June     ,6,15.5,-27.57
Western Australia,Newspaper and book retailing,1/07/2024,2024,July     ,7,17.5,-13.37
Western Australia,Newspaper and book retailing,1/08/2024,2024,August   ,8,18.6,-9.27
Western Australia,Newspaper and book retailing,1/09/2024,2024,September,9,16.1,-15.71
Western Australia,Newspaper and book retailing,1/10/2024,2024,October  ,10,16.7,-9.24
Western Australia,Newspaper and book retailing,1/11/2024,2024,November ,11,17.9,-7.25
Western Australia,Newspaper and book retailing,1/12/2024,2024,December ,12,21.8,-19.26
Western Australia,Newspaper and book retailing,1/01/2025,2025,January  ,1,15.4,-23.38
Western Australia,Newspaper and book retailing,1/02/2025,2025,February ,2,13.9,-18.24
Western Australia,Newspaper and book retailing,1/03/2025,2025,March    ,3,14.7,-13.53
Western Australia,Newspaper and book retailing,1/04/2025,2025,April    ,4,14.8,-7.50
Western Australia,Newspaper and book retailing,1/05/2025,2025,May      ,5,15.8,-7.60
Western Australia,Newspaper and book retailing,1/06/2025,2025,June     ,6,14.5,-6.45
Western Australia,Other recreational goods retailing,1/01/2019,2019,January  ,1,57,NULL
Western Australia,Other recreational goods retailing,1/02/2019,2019,February ,2,41,NULL
Western Australia,Other recreational goods retailing,1/03/2019,2019,March    ,3,46.2,NULL
Western Australia,Other recreational goods retailing,1/04/2019,2019,April    ,4,48,NULL
Western Australia,Other recreational goods retailing,1/05/2019,2019,May      ,5,43.8,NULL
Western Australia,Other recreational goods retailing,1/06/2019,2019,June     ,6,43.6,NULL
Western Australia,Other recreational goods retailing,1/07/2019,2019,July     ,7,48,NULL
Western Australia,Other recreational goods retailing,1/08/2019,2019,August   ,8,47.9,NULL
Western Australia,Other recreational goods retailing,1/09/2019,2019,September,9,54.5,NULL
Western Australia,Other recreational goods retailing,1/10/2019,2019,October  ,10,58.1,NULL
Western Australia,Other recreational goods retailing,1/11/2019,2019,November ,11,65.4,NULL
Western Australia,Other recreational goods retailing,1/12/2019,2019,December ,12,109.9,NULL
Western Australia,Other recreational goods retailing,1/01/2020,2020,January  ,1,61.8,8.42
Western Australia,Other recreational goods retailing,1/02/2020,2020,February ,2,46.5,13.41
Western Australia,Other recreational goods retailing,1/03/2020,2020,March    ,3,61.3,32.68
Western Australia,Other recreational goods retailing,1/04/2020,2020,April    ,4,60.9,26.88
Western Australia,Other recreational goods retailing,1/05/2020,2020,May      ,5,74.4,69.86
Western Australia,Other recreational goods retailing,1/06/2020,2020,June     ,6,72.7,66.74
Western Australia,Other recreational goods retailing,1/07/2020,2020,July     ,7,75.8,57.92
Western Australia,Other recreational goods retailing,1/08/2020,2020,August   ,8,69,44.05
Western Australia,Other recreational goods retailing,1/09/2020,2020,September,9,70.3,28.99
Western Australia,Other recreational goods retailing,1/10/2020,2020,October  ,10,71.4,22.89
Western Australia,Other recreational goods retailing,1/11/2020,2020,November ,11,84,28.44
Western Australia,Other recreational goods retailing,1/12/2020,2020,December ,12,126.8,15.38
Western Australia,Other recreational goods retailing,1/01/2021,2021,January  ,1,76.7,24.11
Western Australia,Other recreational goods retailing,1/02/2021,2021,February ,2,59,26.88
Western Australia,Other recreational goods retailing,1/03/2021,2021,March    ,3,71,15.82
Western Australia,Other recreational goods retailing,1/04/2021,2021,April    ,4,72.3,18.72
Western Australia,Other recreational goods retailing,1/05/2021,2021,May      ,5,69.7,-6.32
Western Australia,Other recreational goods retailing,1/06/2021,2021,June     ,6,70.9,-2.48
Western Australia,Other recreational goods retailing,1/07/2021,2021,July     ,7,75.2,-0.79
Western Australia,Other recreational goods retailing,1/08/2021,2021,August   ,8,68.1,-1.30
Western Australia,Other recreational goods retailing,1/09/2021,2021,September,9,87.2,24.04
Western Australia,Other recreational goods retailing,1/10/2021,2021,October  ,10,88.7,24.23
Western Australia,Other recreational goods retailing,1/11/2021,2021,November ,11,94.5,12.50
Western Australia,Other recreational goods retailing,1/12/2021,2021,December ,12,151.5,19.48
Western Australia,Other recreational goods retailing,1/01/2022,2022,January  ,1,93.7,22.16
Western Australia,Other recreational goods retailing,1/02/2022,2022,February ,2,67.7,14.75
Western Australia,Other recreational goods retailing,1/03/2022,2022,March    ,3,76.2,7.32
Western Australia,Other recreational goods retailing,1/04/2022,2022,April    ,4,80.7,11.62
Western Australia,Other recreational goods retailing,1/05/2022,2022,May      ,5,69.5,-0.29
Western Australia,Other recreational goods retailing,1/06/2022,2022,June     ,6,72.3,1.97
Western Australia,Other recreational goods retailing,1/07/2022,2022,July     ,7,74.2,-1.33
Western Australia,Other recreational goods retailing,1/08/2022,2022,August   ,8,65.7,-3.52
Western Australia,Other recreational goods retailing,1/09/2022,2022,September,9,78.6,-9.86
Western Australia,Other recreational goods retailing,1/10/2022,2022,October  ,10,74.9,-15.56
Western Australia,Other recreational goods retailing,1/11/2022,2022,November ,11,86.7,-8.25
Western Australia,Other recreational goods retailing,1/12/2022,2022,December ,12,124.5,-17.82
Western Australia,Other recreational goods retailing,1/01/2023,2023,January  ,1,81.8,-12.70
Western Australia,Other recreational goods retailing,1/02/2023,2023,February ,2,58.5,-13.59
Western Australia,Other recreational goods retailing,1/03/2023,2023,March    ,3,71.8,-5.77
Western Australia,Other recreational goods retailing,1/04/2023,2023,April    ,4,79.3,-1.73
Western Australia,Other recreational goods retailing,1/05/2023,2023,May      ,5,70.3,1.15
Western Australia,Other recreational goods retailing,1/06/2023,2023,June     ,6,73.3,1.38
Western Australia,Other recreational goods retailing,1/07/2023,2023,July     ,7,69.1,-6.87
Western Australia,Other recreational goods retailing,1/08/2023,2023,August   ,8,70.1,6.70
Western Australia,Other recreational goods retailing,1/09/2023,2023,September,9,71.6,-8.91
Western Australia,Other recreational goods retailing,1/10/2023,2023,October  ,10,77.7,3.74
Western Australia,Other recreational goods retailing,1/11/2023,2023,November ,11,88.7,2.31
Western Australia,Other recreational goods retailing,1/12/2023,2023,December ,12,126.2,1.37
Western Australia,Other recreational goods retailing,1/01/2024,2024,January  ,1,76.9,-5.99
